"","id","scene_description"
"428",543,"[Shot from over Sokka's shoulder.]"
"429",545,"[Cut to a front view of Aang, as he brings his hand besides his mouth.]"
"430",545,"[Switch back to a shot from behind Sokka and Katara as Aang enters the sanctuary.]"
"431",547,"[Wider shot of the tent as Zhao stops pacing. Iroh can be seen sitting in a corner.]"
"432",548,"[Angrily.]"
"433",549,"[Frontal view with Zuko in the background. Aggressively.]"
"434",550,"[Alarmed.]"
"435",550,"[Closer shot of Zuko.]"
"436",551,"[Cut to a shot from over Zuko's shoulder as Zhao angrily turns around, spreading flames in an arc.]"
"437",551,"[He walks intimidatingly up to Zuko.]"
"438",555,"[Calmly with a hint of amusement in his voice.]"
"439",557,"[Disappointed.]"
"440",560,"[Pensive.]"
"441",560,"[Frontal view of Aang.]"
"442",560,"[Camera shifts to a point behind Aang and Katara. Aang points at the statue of a man with airbending mastery tattoos in front of him.]"
"443",561,"[Camera pans to the right. Katara points at the statue of a male dressed in Water Tribe clothes next to the airbender.]"
"444",561,"[Looks to the right and back to the left.]"
"445",561,"[Points at the respective statues.]"
"446",563,"[Understanding.]"
"447",566,"[Skeptically.]"
"448",566,"[Aang stops before a statue while Sokka and Katara are still visible in the background.]"
"449",567,"[The picture pans up the reveal Aang staring at the statue of an elderly man with a beard. In the background hundreds of statues can be seen spiraling up.]"
"450",571,"[Dazed.]"
"451",572,"[She curiously follows his gaze and looks at the statue as well.]"
"452",576,"[Looks at the base of the statue.]"
"453",578,"[Growls irritably while crossing his arms.]"
"454",580,"[Whispering.]"
"455",581,"[Irritably.]"
"456",582,"[Putting their finger before their mouths.]"
"457",584,"[Whispering.]"
"458",586,"[Excitedly.]"
"459",587,"[Quickly pans to a drooling Sokka.]"
"460",589,"[Reassuring.]"
"461",590,"[Aang glares angrily at Sokka, before the scene switches to a close-up of his drooling face. Challenging.]"
"462",598,"[Cut to a shot from over Zhao's head to reveal Iroh and Zuko sitting in two chairs in front of him in the middle of the tent.]"
"463",598,"[Close-up of Zuko, who angrily looks down.]"
"464",599,"[Angrily.]"
"465",601,"[Amused.]"
"466",602,"[Angrily gets up. Enraged.]"
"467",603,"[Gets up as well; sternly.]"
"468",604,"[Confidently.]"
"469",605,"[Angrily.]"
"470",606,"[Close-up of Zhao, as the camera pans to the right to slowly reveal his whole face.]"
"471",607,"[Cut to Zuko.]"
"472",610,"[Furiously.]"
"473",611,"[Slightly mockingly.]"
"474",613,"[Zhao erects himself.]"
"475",613,"[Turns around.]"
"476",615,"[Camera pans slowly to the right to a full close-up of Zuko. Worried.]"
"477",616,"[Darkly.]"
"478",618,"[Follows the lemur.]"
"479",618,"[Cut to a shot from inside the tent, as Aang pushes the decaying curtain of drapes out of the way. Happily looks around.]"
"480",620,"[Shocked.]"
"481",622,"[Devastated.]"
"482",624,"[Happily.]"
"483",624,"[Cut to a side-view of Aang sitting on his knees, his head cupped in his hands. Sokka walks toward him. Reassuring.]"
"484",624,"[He approaches Aang with a smile on his face, but shakes his head and does a double take.]"
"485",624,"[Switch to a shot of the skeleton of the monk, which slowly moves back to reveal that Sokka places a hand on Aang's shoulder.]"
"486",626,"[Worried.]"
"487",630,"[Alarmed.]"
"488",634,"[Shouting above the raging winds. Close-up of the two siblings. Katara looks worried at her brother.]"
"489",635,"[Shouting.]"
"490",636,"[Raises her hand to protect herself against the winds and the flying debris.]"
"491",636,"[Closes an eye against the wind and starts to make her way toward Aang.]"
"492",637,"[Holds on to the rock in an attempt to keep from being blown away. Alarmed.]"
"493",639,"[Close-up of Iroh's upper body.]"
"494",640,"[Close-up of Zuko's determined face.]"
"495",642,"[Confident whisper.]"
"496",644,"[Close-up of Zuko's determined face.]"
"497",646,"[Challenging.]"
"498",649,"[Anger clearly audible in his voice.]"
"499",651,"[Turns to face Zhao. Condescending.]"
"500",651,"[Close-up of Zhao lying on the floor.]"
"501",651,"[Cut back to a closer shot of Zuko and Iroh.]"
"502",651,"[Zuko looks at Iroh upon hearing those last words. Switch to a shot from over Zhao's shoulders.]"
"503",653,"[Softly.]"
"504",654,"[Smiling slyly, while glancing at his nephew.]"
"505",656,"[In the background, Sokka is hunched over his rock, clenching his teeth together. Katara shouts calmly with a sad expression on her face. The camera slowly moves in on her.]"
"506",656,"[Diverts her eyes. Shot switches to a frontal view of Aang, his tattoos glowing and wind swirling around him; his clothes flutter in the storm. Sokka runs over to his sister in the background.]"
"507",656,"[Close-up of her as she looks up at him.]"
"508",656,"[Sokka opens his eyes and glances at his sister.]"
"509",658,"[Gently.]"
"510",660,"[Sad and tired.]"
"511",662,"[Sadly.]"
"512",662,"[Close-up of his sad face, as he closes his eyes.]"
"513",665,"[Closer shot of Aang and Katara's faces. Softly.]"
"514",669,"[Pushing the food in his mouth with his two hands. Looks up with an exhilarated look upon his face. With a full mouth.]"
"515",669,"[Takes another big bite.]"
"516",671,"[Looking at the lemur from the corners of his eye.]"
"517",673,"[To the winged-lemur.]"
"518",673,"[Frontal view as the camera closes in on them.]"
"519",673,"[Looks at the lemur.]"
"520",673,"[Switches to a shot of the duo fiddling with their luggage. They turn back to look at Aang as he calls them. Sokka is still eating a peach.]"
"521",674,"[Aang approaches the duo.]"
"522",680,"[Calmly.]"
"523",681,"[Pushes open the door completely and enters the room, holding a rolled up scroll in his hands.]"
"524",682,"[Cut to shot of the prince sitting motionless, still assuming his meditative stance, his back to the camera. Calmly.]"
"525",683,"[Frontal view of Zuko, Iroh tugging his small beard in the background.]"
"526",683,"[Hesitatingly.]"
"527",685,"[Enraged.]"
"528",688,"[He snatches the scroll from Iroh's hand.]"
"529",688,"[He unrolls it, scanning over the parchment.]"
"530",690,"[Desperately.]"
"531",690,"[Cut to a shot of the map in Zuko's hand, several locations marked down with zigzagged lines connecting each point; Voice-over.]"
"532",692,"[To Aang.]"
"533",694,"[Happily.]"
"534",696,"[Sarcastically.]"
"535",698,"[Close-up of Momo who dives into his shirt and emerges, handing Aang two small, gray marbles.]"
"536",700,"[Nonchalantly, still focusing on her task at hand.]"
"537",701,"[Disappointed, stops performing the trick.]"
"538",702,"[Looks over Aang and attempts to show enthusiasm.]"
"539",703,"[Dismayed.]"
"540",704,"[Cut to shot of Katara and Sokka seated on Appa's saddle. Sokka waves his arm breezily at Aang as if he is trying to shoo him away.]"
"541",705,"[Close side-view shot of Katara as she casts her brother an annoyed glare; irritably.]"
"542",706,"[Cut to a shot of Sokka lazily resting with his arms behind his head.]"
"543",706,"[Cut back to an annoyed Katara.]"
"544",707,"[Suddenly smiles. Sarcastically.]"
